const,nconst,actor,gender,ordering
tt0023028,nm0000026,Cary Grant,2.0,1
tt0023028,nm0007216,Nancy Carroll,1.0,2
tt0023028,nm0000068,Randolph Scott,2.0,3
tt0023028,nm0940589,Edward Woods,2.0,4
tt0023028,nm0093988,Lilian Bond,1.0,5
tt0023028,nm0171874,William Collier Sr.,2.0,6
tt0023028,nm0002034,Jane Darwell,1.0,7
tt0023028,nm0810000,Stanley Smith,2.0,8
tt0023028,nm0478996,Rita La Roy,1.0,9
tt0023028,nm0169079,Rose Coghlan,1.0,10
tt0023196,nm0001256,Greta Garbo,1.0,1
tt0023196,nm0003895,Ramon Novarro,2.0,2
tt0023196,nm0000859,Lionel Barrymore,2.0,3
tt0023196,nm0832011,Lewis Stone,2.0,4
tt0023196,nm0330059,C. Henry Gordon,2.0,5
tt0023196,nm0605904,Karen Morley,1.0,6
tt0023196,nm0290066,Alec B. Francis,2.0,7
tt0023196,nm0002768,Blanche Friderici,1.0,8
tt0023196,nm0106785,Edmund Breese,2.0,9
tt0023196,nm0248890,Helen Jerome Eddy,1.0,10
tt0023328,nm0903667,George Voskovec,2.0,1
tt0023328,nm0921276,Jan Werich,2.0,2
tt0023328,nm0687283,Eliska Pleyová,,3
tt0023328,nm0023820,Theo Amady,2.0,4
tt0023328,nm0379315,Ljuba Hermanová,1.0,5
tt0023328,nm0905031,Hana Vítová,1.0,6
tt0023328,nm0343782,Marie Grossová,1.0,7
tt0023328,nm3373241,Frantika Schuhová,,8
tt0023328,nm1097607,Eliska Jílková,,9
tt0023328,nm0403692,Jaroslav Hurt,2.0,10
tt0023385,nm0001318,Jean Harlow,1.0,1
tt0023385,nm0606431,Chester Morris,2.0,2
tt0023385,nm0832011,Lewis Stone,2.0,3
tt0023385,nm0404885,Leila Hyams,1.0,4
tt0023385,nm0580916,Una Merkel,1.0,5
tt0023385,nm0827261,Henry Stephenson,2.0,6
tt0023385,nm0733480,May Robson,1.0,7
tt0023385,nm0000964,Charles Boyer,2.0,8
tt0023385,nm0164003,Harvey Clark,2.0,9
tt0023385,nm0035455,Henry Armetta,2.0,10
tt0023590,nm0000951,Joan Blondell,1.0,1
tt0023590,nm0245304,Ann Dvorak,1.0,2
tt0023590,nm0000012,Bette Davis,1.0,3
tt0023590,nm0929925,Warren William,2.0,4
tt0023590,nm0847939,Lyle Talbot,2.0,5
tt0023590,nm0000007,Humphrey Bogart,2.0,6
tt0023590,nm0420765,Allen Jenkins,2.0,7
tt0023590,nm0036427,Edward Arnold,2.0,8
tt0023590,nm0017013,Hardie Albright,2.0,9
tt0023590,nm0197368,Virginia Davis,1.0,10
tt0023622,nm0394244,Miriam Hopkins,1.0,1
tt0023622,nm0290215,Kay Francis,1.0,2
tt0023622,nm0003339,Herbert Marshall,2.0,3
tt0023622,nm0749476,Charles Ruggles,2.0,4
tt0023622,nm0002143,Edward Everett Horton,2.0,5
tt0023622,nm0807580,C. Aubrey Smith,2.0,6
tt0023622,nm0340063,Robert Greig,2.0,7
tt0023622,nm0016422,Luis Alberni,2.0,8
tt0023622,nm0040341,Hooper Atchley,2.0,9
tt0023622,nm0111751,Tyler Brooke,2.0,10
tt0023658,nm0054011,Carl Barcklind,2.0,1
tt0023658,nm0738198,Tutta Rolf,1.0,2
tt0023658,nm0229282,Bengt Djurberg,2.0,3
tt0023658,nm0577088,Emma Meissner,1.0,4
tt0023658,nm0841889,Karin Swanström,1.0,5
tt0023658,nm0909436,Sigurd Wallén,2.0,6
tt0023658,nm0954651,Tollie Zellman,1.0,7
tt0023658,nm0085007,Renée Björling,1.0,8
tt0023658,nm0116303,Anne-Marie Brunius,1.0,9
tt0023658,nm0265150,Einar Fagstad,2.0,10
tt0023940,nm0545298,Fredric March,2.0,1
tt0023940,nm0000011,Gary Cooper,2.0,2
tt0023940,nm0394244,Miriam Hopkins,1.0,3
tt0023940,nm0002143,Edward Everett Horton,2.0,4
tt0023940,nm0659427,Franklin Pangborn,2.0,5
tt0023940,nm0422436,Isabel Jewell,1.0,6
tt0023940,nm0002034,Jane Darwell,1.0,7
tt0023940,nm0822074,Wyndham Standing,2.0,8
tt0023940,nm0068926,Cosmo Kyrle Bellew,2.0,9
tt0023940,nm0069373,Lionel Belmore,2.0,10
tt0023986,nm0929925,Warren William,2.0,1
tt0023986,nm0949835,Loretta Young,1.0,2
tt0023986,nm0285922,Wallace Ford,2.0,3
tt0023986,nm0924442,Alice White,1.0,4
tt0023986,nm0357894,Hale Hamilton,2.0,5
tt0023986,nm0334581,Albert Gran,2.0,6
tt0023986,nm0309641,Marjorie Gateson,1.0,7
tt0023986,nm0232766,Ruth Donnelly,1.0,8
tt0023986,nm0717046,Frank Reicher,2.0,9
tt0023986,nm0783041,Charles Sellon,2.0,10
tt0024075,nm0929925,Warren William,2.0,1
tt0024075,nm0000951,Joan Blondell,1.0,2
tt0024075,nm0864931,Genevieve Tobin,1.0,3
tt0024075,nm0001890,Hugh Herbert,2.0,4
tt0024075,nm0285922,Wallace Ford,2.0,5
tt0024075,nm0151377,Helen Chandler,1.0,6
tt0024075,nm0146928,Hobart Cavanaugh,2.0,7
tt0024075,nm0177485,Ray Cooke,2.0,8
tt0024075,nm0911600,Jay Ward,2.0,9
tt0024075,nm0232766,Ruth Donnelly,1.0,10
tt0024184,nm0001647,Claude Rains,2.0,1
tt0024184,nm0001784,Gloria Stuart,1.0,2
tt0024184,nm0364203,William Harrigan,2.0,3
tt0024184,nm0871287,Henry Travers,2.0,4
tt0024184,nm0640547,Una O'Connor,1.0,5
tt0024184,nm0367516,Forrester Harvey,2.0,6
