actor_a,actor_b,co_appearances
Sheng Chiang,Tai-Ping Yu,2
Bruce Dern,Jane Fonda,2
Ku Feng,Phillip Chung-Fung Kwok,2
Feng Lu,Shen Chan,2
Phillip Chung-Fung Kwok,Shen Chan,2
Shen Chan,Sheng Chiang,2
Chia-Hui Liu,Lun Hua,2
Chia-Hui Liu,Szu-Chia Chen,2
Lun Hua,Szu-Chia Chen,2
Chi-Shan Chen,Feng Lu,2
Chi-Shan Chen,Han-Kuang Chen,2
Chi-Shan Chen,Li Wang,2
Chi-Shan Chen,Meng Lo,2
Chi-Shan Chen,Sheng Chiang,2
Chi-Shan Chen,Siu-Ho Chin,2
Han-Kuang Chen,Meng Lo,2
Han-Kuang Chen,Siu-Ho Chin,2
Li Wang,Meng Lo,2
Meng Lo,Siu-Ho Chin,2
John Hurt,Tom Skerritt,2
Diane Keaton,Meryl Streep,2
Dabney Coleman,Dolly Parton,2
Dabney Coleman,Lily Tomlin,2
Dolly Parton,Lily Tomlin,2
Chia-Liang Liu,Kara Ying Hung Wai,2
Chia-Liang Liu,Kwok-Keung Chan,2
Hou Hsiao,Kwok-Keung Chan,2
